id,en,pt_BR
forest-1-1,,Herói: O que está acontecendo.
forest-1-2,,Herói: Eu não me lembro do que aconteceu.
forest-1-3,,"Herói: Eu estou caído nesse local escuro, sem nenhuma pista."
forest-1-4,,"Herói: Nossa, é verdade. Lembro-me de estar lutando com algo, mas acabei caindo..."
forest-1-5,,"Herói: O que está acontecendo, tudo está tremendo."
forest-1-6,,"Herói: Minha cabeça está doendo, mas não consigo me lembrar. "
forest-1-7,,???: ALGUÉM ME AJUDAAAAA!!!
forest-1-8,,Herói: De quem é essa voz...
forest-1-9,,Herói: Preciso ajudar essa pessoa.
forest-2-1,,Herói: Nossa essa carta quer dizer alguma coisa.
forest-2-2,,"Herói: Não é possível, é uma carta do reino."
forest-2-3,,Herói: Uma missão para acabar com um certo monstro a pedido do rei
forest-2-4,,Herói: Talvez o grito esteja relacionado com esse monstro...
forest-3-1,,Herói: Existe uma barreira na porta do castelo.
forest-3-2,,Herói: Preciso achar uma outra maneira de entrar.
subsolo-4-1,,Herói: Preciso acabar com esse monstro utilizando minha espada.
subsolo-5-1,,Herói: Você sabe de algo relacionado com a voz de antes?
subsolo-5-2,,"Monstro: Desculpe, mas não compreendo o que está falando."
subsolo-5-3,,Monstro: Sou apenas o guardião da parte mais profunda do castelo.
subsolo-5-4,,"Monstro: E agora que você está aqui, está na hora de impedir sua jornada."
